code	name	category	units	weight
3661434004575	Uriage Déodorant Puissance 3	Déodorant	1	50
3770012869625	Gel douche solide	Gel douche	1	100
7613035859098	Nestlé Dessert 70%	Chocolat	1	170
3560071212193	Lingettes Bio	Lingettes	1	50
3504105036003	Mustela Cold Cream	Cold Cream	1	40
3760001764185	Tadam	Serviettes hygièniques	1	??
5054563165008	Sensodyne	Dentifrice	1	75
3700668702373	Love & Green Bio	Shampoing Bébé	1	500
3600551119816	Mixa bébé	Shampoing Bébé	1	300
3564700993019	Petit Manava	Shampoing Douche Bébé	1	250
3600551119793	Mixa Bébé	Shampoing Bébé	1	300
3600551119809	Mixa Bébé	Shampoing Bébé	1	300
3564706673458	Mots d'enfants Bio	Liniment	1	500
3041091439994	Blédina	Lait 1	1	800
